id,name,cleaned
8f34f5434b42e34613c93b541fb3c7bb3361a02d608f1730076534be960d4e13,amd ryzen 5 5500 (3.6 ghz / 4.2 ghz) tray + msi a520m-a pro,amd ryzen 5 5500 msi a520m-a pro
2c9bc1023591db82a7c6590b3c2cb7597379b53dab17890a91b21995471f59fc,amd ryzen 5 5500 wraith stealth (3.6 ghz / 4.2 ghz) box,amd ryzen 5 5500 wraith stealth
47c937f7d64f3f7f1a207a5ea45382a0f291e24d3f4010eb66e47c0f6ce27198,amd ryzen 5 5500 wraith stealth (3.6 ghz / 4.2 ghz) box,amd ryzen 5 5500 wraith stealth
b71e71458c5ced7068537d1b07ab942f9c8270d0f17a10dd5148fe1619c1a899,amd ryzen 5 5500gt wraith stealth (3.6 ghz / 4.4 ghz),amd ryzen 5 5500gt wraith stealth
0b74cab28512bc9524d78d2420e114ba40b7d4d4d34187e3ece4d5dbc05544ec,amd ryzen 5 5600 (3.5 ghz / 4.4 ghz),amd ryzen 5 5600
a1c9bdd95c6c172a2248d042cb03d36cdfa98220df997f272ac0765f0ca2745c,amd ryzen 5 5600 (3.5 ghz / 4.4 ghz) tray,amd ryzen 5 5600
f597998b875d60c1f60091cc670e30a54102869de5c92964dec8abc85e87e238,amd ryzen 5 5600 (3.5 ghz / 4.4 ghz) tray,amd ryzen 5 5600
6c6d5488c94a532f183c57de39a7e02812b4af5106993218c698c9e7eea80234,amd ryzen 5 5600 wraith stealth (3.5 ghz / 4.4 ghz) mpk,amd ryzen 5 5600 wraith stealth mpk
b582136cff7b2c3548dc5faa0443400710f92baf9fc12917faacea115ba0c176,amd ryzen 5 5600 wraith stealth (3.5 ghz / 4.4 ghz) tray,amd ryzen 5 5600 wraith stealth
0a57f0aca13e13c8900e0bde7103e255f5e9e3da0943a093f87363564ffd0528,amd ryzen 5 5600g (3.9 ghz / 4.4 ghz) mpk tray avec fan,amd ryzen 5 5600g mpk avec fan
19ca33a01e58c60693cf103ff16d367f459f8420a03c91d9b9bb1e9afd76b738,amd ryzen 5 5600g (3.9 ghz / 4.4 ghz) tray,amd ryzen 5 5600g
a2989b8ab3b0aec7752909a276a1e6ad8135723be668c5ef8783e36caaf5d153,amd ryzen 5 5600g (3.9 ghz / 4.4 ghz) tray,amd ryzen 5 5600g
2ec6b18024e78297040ec740ceb40ff5ddb67c3bcf4e13b41074110f103d74ae,amd ryzen 5 5600g wraith stealth (3.9 ghz / 4.4 ghz) tray + msi a520m-a pro,amd ryzen 5 5600g wraith stealth msi a520m-a pro
7829492bfde7097c1806b30d4627c878ecb7348351f815004c09896e5fb0e9fe,amd ryzen 5 5600gt (3.6 ghz / 4.6 ghz) tray,amd ryzen 5 5600gt
c0000ee7f4f184a0c8e958020d3f069bbf9dc3929c7df76c630c8ab32776474f,amd ryzen 5 5600gt tray,amd ryzen 5 5600gt
21982d4b945c997ba9115925cd1c2f8f8e1f6a18c10eda1fcde251e3c4e21ab1,amd ryzen 5 5600gt wraith stealth (3.6 ghz / 4.6 ghz)tray,amd ryzen 5 5600gt wraith stealth
98a8d19986f6d19b754be45b52048bd05ce81ac71fa8b9ea7e9b47955684696f,amd ryzen 5 5600x (3.7 ghz  4.6 ghz) tray,amd ryzen 5 5600x
